GEO_SPATIAL_KEY,NODE_TYPE,NODE_DESC,NODE_TRANSPORT,LONGITUDE,LATITUDE
121,station,Woodleigh,MRT,103.8707535,1.3391966
122,station,Choa Chu Kang,MRT,103.744325,1.3853167
123,station,Marymount,MRT,103.8392382,1.3486136
124,station,Eunos,MRT,103.9030581,1.3198137
125,station,Botanic Gardens,MRT,103.815747,1.3225586
126,station,Sengkang,MRT;LRT,103.8952941,1.3913304
127,station,Punggol,MRT;LRT,103.9023538,1.4052551
128,construction,Gul Circle,NA,103.6606551,1.3196353
129,construction,Tuas Crescent,NA,103.6489788,1.3211099
130,construction,Tuas West Road,NA,103.6396096,1.3300062
131,construction,Tuas Link,NA,103.636745,1.3396381
132,construction,Bukit Panjang,NA,103.7621384,1.3782958
133,construction,Beauty World,NA,103.775935,1.3416523
134,construction,Bedok North,NA,103.917704,1.3351053
135,construction,Bedok Reservoir,NA,103.9324237,1.3364494
136,construction,Bencoolen,NA,103.850141,1.2986296
137,construction,Bendemeer,NA,103.8627933,1.3138286
138,construction,Cashew,NA,103.7644119,1.3698736
139,construction,Fort Canning,NA,103.8446751,1.292625
140,construction,Geylang Bahru,NA,103.8719424,1.3216543
141,construction,Hillview,NA,103.767119,1.3624141
142,construction,Jalan Besar,NA,103.8547059,1.3043525
143,construction,Kaki Bukit,NA,103.9086336,1.3352166
144,construction,King Albert Park,NA,103.7841492,1.3356818
145,construction,Mattar,NA,103.8838814,1.326667
146,construction,Rochor,NA,103.8521291,1.3041913
147,construction,Sixth Avenue,NA,103.7972287,1.3305875
148,construction,Stevens,NA,103.8253805,1.320225
149,construction,Tampines East,NA,103.9550506,1.3563793
150,construction,Tampines West,NA,103.9385164,1.3460249
151,construction,Tan Kah Kee,NA,103.8070218,1.3259616
152,construction,Ubi,NA,103.8991061,1.3300328
153,construction,Upper Changi,NA,103.9615514,1.3410928
154,construction,Gardens by the Bay,NA,103.8681736,1.279054
155,construction,Great World,NA,103.8336936,1.2944077
156,construction,Havelock,NA,103.8336692,1.2884864
157,construction,Lentor,NA,103.8365838,1.3848938
158,construction,Marina South,NA,103.8630396,1.2743493
159,construction,Maxwell,NA,103.8435833,1.2803778
160,construction,Mayflower,NA,103.8368026,1.3722241
161,construction,Mount Pleasant,NA,103.8355847,1.3281992
162,construction,Napier,NA,103.8187867,1.3067845
163,construction,Orchard Boulevard,NA,103.8239132,1.3025452
164,construction,Shenton Way,NA,103.8504351,1.2777688
165,construction,Bright Hill,NA,103.8331509,1.363327
166,construction,Springleaf,NA,103.818058,1.3982444
167,construction,Upper Thomson,NA,103.8325984,1.3546898
168,construction,Woodlands North,NA,103.7871134,1.4477602
169,construction,Amber,NA,103.8973712,1.2992286
170,construction,Bayshore,NA,103.9414831,1.313176
171,construction,Bedok South,NA,103.9499069,1.3170871
172,construction,Katong Park,NA,103.8864143,1.2978644
173,construction,Marine Parade,NA,103.9057131,1.3030749
174,construction,Marine Terrace,NA,103.9157452,1.3069297
175,construction,Siglap,NA,103.9305475,1.3100971
176,construction,Sungei Bedok,NA,103.9571687,1.3205888
177,construction,Tanjong Rhu,NA,103.8735601,1.297079
178,construction,Xilin,NA,103.965004,1.3290801
179,proposed,Woodlands South,NA,103.7941155,1.4271878
